text,label
I really like this shoes 187,positive
This laptop works well 59,positive
The laptop is not worth the price 184,negative
The phone performs nicely 136,positive
The watch is not worth the price 103,negative
The shoes quality is good 96,positive
I really like this phone 175,positive
I really like this shoes 178,positive
Not happy with this headphones 182,negative
This headphones works poorly 56,negative
The watch performs nicely 196,positive
This phone works well 157,positive
The phone quality is bad 37,negative
I regret buying this headphones 109,negative
The laptop is not worth the price 135,negative
This laptop is disappointing 80,negative
This shoes works well 11,positive
This laptop works well 139,positive
Happy with this headphones overall 173,positive
I regret buying this shoes 170,negative
The headphones quality is good 72,positive
The headphones quality is bad 34,negative
The headphones quality is bad 111,negative
The shoes quality is good 28,positive
This watch is disappointing 114,negative
Not happy with this laptop 136,negative
Satisfied with this phone 142,positive
This phone works well 32,positive
This phone works poorly 112,negative
This laptop works well 93,positive
I really like this laptop 45,positive
I regret buying this watch 117,negative
The phone is not worth the price 140,negative
The shoes is not worth the price 173,negative
The phone quality is good 14,positive
I regret buying this laptop 31,negative
I regret buying this shoes 49,negative
Satisfied with this watch 66,positive
This laptop works well 2,positive
Happy with this shoes overall 54,positive
Not happy with this headphones 198,negative
I regret buying this shoes 41,negative
Not happy with this laptop 27,negative
This shoes works poorly 188,negative
Not happy with this watch 87,negative
The laptop performs nicely 107,positive
Not happy with this watch 189,negative
Not happy with this shoes 46,negative
The phone is not worth the price 75,negative
Satisfied with this phone 25,positive
The watch quality is bad 131,negative
Satisfied with this laptop 134,positive
The shoes quality is good 21,positive
The watch quality is bad 108,negative
I regret buying this laptop 82,negative
This shoes works well 83,positive
The phone quality is good 199,positive
This headphones works well 114,positive
This headphones works well 189,positive
The headphones performs nicely 55,positive
The shoes performs nicely 186,positive
Not happy with this shoes 36,negative
I really like this watch 198,positive
Not happy with this laptop 72,negative
Satisfied with this phone 86,positive
The watch performs nicely 67,positive
Happy with this shoes overall 56,positive
Satisfied with this laptop 12,positive
The phone performs nicely 90,positive
The shoes performs nicely 164,positive
I regret buying this watch 90,negative
Happy with this shoes overall 4,positive
Happy with this laptop overall 63,positive
This headphones works well 133,positive
The laptop performs nicely 81,positive
I really like this headphones 87,positive
This laptop works poorly 94,negative
This shoes works poorly 163,negative
The phone quality is bad 12,negative
This headphones is disappointing 165,negative
I really like this shoes 137,positive
The shoes quality is bad 76,negative
The watch is not worth the price 134,negative
This laptop works poorly 60,negative
I really like this phone 121,positive
Happy with this headphones overall 185,positive
The phone is not worth the price 89,negative
The laptop is not worth the price 6,negative
The shoes performs nicely 168,positive
The phone quality is good 197,positive
I regret buying this watch 48,negative
This phone works poorly 4,negative
The watch quality is good 146,positive
I regret buying this laptop 21,negative
This headphones is disappointing 1,negative
I really like this watch 19,positive
I really like this laptop 62,positive
Not happy with this phone 132,negative
The watch quality is bad 148,negative
Satisfied with this phone 75,positive
Not happy with this headphones 146,negative
The phone performs nicely 160,positive
Not happy with this headphones 104,negative
Happy with this shoes overall 167,positive
Satisfied with this headphones 34,positive
